DEVICE_ID,SENSOR_DATETIME,TEMP_DEVICE,TEMP_INSIDE,TEMP_OUTSIDE,LIGHT_INTENSITY,VOLTAGE,HUMIDITY_INSIDE,PRESSURE,100-150 Hz,150-200 Hz,200-250 Hz,250-300 Hz,300-350 Hz,350-400 Hz,400-450 Hz,450-500 Hz,500-550 Hz,550-600 Hz,MESSAGE_ID,PROCESSED_DTTM,DQ_PERIOD,DQ_DATA_QUALITY_OPTIONS,DQ_N_MEASUREMENTS_PER_HOUR,DQ_N_MISSING_HOURS_IN_DAY,DQ_PERC_MISSING_DAYS_IN_PERIOD
v001/c00002/d001,2024-12-03T00:06:00,0,15.9,7.3,0,1.8,73.3,101328,41,39,22,22,18,13,29,50,5,26,000628526F6393F05977531703F60002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T00:16:00,0,15.8,7.1,0,1.8,72.9,101340,33,32,16,18,16,11,17,16,8,19,00062852925A9CD50A0CF11809980002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T00:25:00,0,15.8,6.9,0,1.8,73.6,101354,33,32,18,17,16,10,24,44,4,18,00062852B536E15A5977531705820002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T00:35:00,0,15.8,6.8,0,1.8,75.5,101383,34,30,15,21,14,12,15,21,8,14,00062852D81481075977531708520002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T00:45:00,0,15.8,6.6,0,1.8,75.2,101390,34,28,17,20,15,10,18,24,8,16,00062852FB3084F70A0CF41848610002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T00:55:00,0,15.8,6.6,0,1.8,74.3,101394,33,32,19,18,13,7,27,63,16,21,000628531DEECE0F0A0CF618710F0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T01:04:00,0,15.8,6.4,0,1.8,76.6,101413,31,26,15,17,15,9,14,18,4,19,0006285340D1EA8E0A0CF8180A1B0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T01:14:00,0,15.7,6.3,0,1.8,75.6,101427,26,28,15,15,13,10,31,48,8,12,0006285363B3FD56597750173B1C0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T01:24:00,0,15.7,6.3,0,1.8,76.1,101451,28,39,8,35,15,15,51,74,22,22,00062853869557E35977591776410002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T01:34:00,0,15.7,6.3,0,1.8,77.1,101458,27,27,15,15,16,10,15,52,7,15,00062853A975115C0A0CFC182DC60002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T01:43:00,0,15.7,6.3,0,1.8,76.5,101471,26,25,15,14,16,6,39,69,9,27,00062853CC6632660A0CFC18361F0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T01:53:00,0,15.7,6.2,0,1.8,76.3,101481,24,28,13,15,17,10,18,43,11,18,00062853EF40622F59775C1710010002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T02:03:00,0,15.8,6.1,0,1.8,77.5,101504,28,24,16,17,15,16,34,30,8,13,00062854122262A759775E172F9D0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T02:13:00,0,15.8,6.1,0,1.8,77.2,101519,28,25,17,16,13,15,19,32,10,19,000628543543CD0A59775E17214D0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T02:22:00,0,15.7,6.1,0,1.8,75.8,101532,30,32,15,23,14,16,34,53,12,15,00062854580FA3D859775F1763AE0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T02:32:00,0,15.6,6,0,1.8,74.9,101540,34,32,18,20,19,14,35,60,8,22,000628547AFA19E45977601744BE0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T02:42:00,0,15.6,5.9,0,1.8,75,101554,34,31,18,19,14,12,28,36,11,15,000628549DDD84A30A0C001930950002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T02:52:00,0,15.6,5.9,0,1.8,74.3,101571,32,34,14,19,19,10,30,49,4,10,00062854C0B4A5350A0C051953070002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T03:02:00,0,15.5,5.8,0,1.8,74.5,101582,32,32,15,19,17,10,23,35,12,20,00062854E39AEBB25977621756E40002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T03:11:00,0,15.4,5.8,0,1.8,74.3,101585,32,33,17,18,18,7,22,50,9,24,000628550682B3355977651744D10002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T03:21:00,0,15.5,5.6,0,1.8,77.1,101596,27,27,15,18,14,12,27,36,16,23,00062855296D155F597763170CB10002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T03:31:00,0,15.5,5.3,0,1.8,77.1,101602,27,28,16,19,16,10,51,83,8,17,000628554C3F86DE0A0C081925E20002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T03:41:00,0,15.5,5.1,0,1.8,75.7,101612,27,27,17,18,12,12,81,106,14,58,000628556F2159C359776917024F0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T03:50:00,0,15.5,4.9,0,1.8,76.6,101628,30,26,13,19,16,11,31,46,7,17,00062855925544DC59770B1504FC0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T04:00:00,0,15.5,4.8,0,1.8,76.5,101631,29,26,17,16,16,10,20,32,9,26,00062855B52894DE5977651779650002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T04:10:00,0,15.5,5.1,0,1.8,76.2,101646,29,26,14,17,15,8,24,24,10,18,00062855D99BD28659776C1728CB0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T04:20:00,0,15.5,5.7,0,1.8,75.8,101664,30,27,17,18,18,10,36,25,13,13,00062855FCE7F18E59776B17742D0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T04:30:00,0,15.6,5.6,0,1.8,78.2,101682,30,25,16,18,25,12,27,51,6,26,000628561F9F055C59776F173B3D0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T04:40:00,0,15.5,5.6,0,1.8,75.5,101699,31,30,14,19,15,10,13,37,7,26,000628564281A9B90A0C111919780002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T04:49:00,0,15.4,5.4,0,1.8,75.7,101697,34,26,15,19,14,9,18,26,11,23,00062856656047540A0C121925820002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T04:59:00,0,15.4,5.3,0,1.8,75.5,101712,30,30,17,14,15,15,32,112,11,11,0006285688483C60597770173F030002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T05:09:00,0,15.3,5.1,0,1.8,73.3,101712,30,31,15,18,17,10,8,50,8,29,00062856AB28228B5977701748280002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T05:19:00,0,15.2,5.3,0,1.8,74.2,101732,35,33,15,14,17,12,16,61,9,18,00062856CE05753559777417259B0002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T05:28:00,0,15.2,5.3,0,1.8,73.8,101742,35,30,14,17,15,9,37,90,9,18,00062856F0E5687B0A0C17192C250002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T05:38:00,0,15.2,5.3,0,1.8,73.6,101756,28,33,16,14,15,14,25,48,12,9,0006285713C3A2E60A0C161957C70002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T05:48:00,0,15.2,5.1,0,1.8,73.4,101766,27,29,13,21,18,10,26,33,12,33,0006285736A474475977761763160002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T05:58:00,0,15.1,4.7,0,1.8,74.4,101792,30,25,15,16,16,9,16,11,9,15,00062857598AC3600A0C181941280002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T06:07:00,0,15.2,4.8,0,1.8,78.3,101799,30,28,11,18,16,9,24,32,8,20,000628577C68177C0A0C1B1928E80002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T06:17:00,0,15.2,4.9,0,1.8,76.8,101802,29,28,14,15,17,9,17,21,9,13,000628579F441807597779174DA20002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T06:27:00,0,15.1,4.8,0,1.8,76.8,101821,31,32,17,17,19,7,35,46,11,45,00062857C2252381597779173DE30002,2024-12-11T08:51:22,7,0,4,2,100
v001/c00002/d001,2024-12-03T06:37:00,0,15.1,4.6,0,1.8,74.9,101839,30,30,12,15,33,12,52,90,16,61,00062857E506057359777D1749710002,2024-12-11T08:51:22,7,0,4,2,100
